,Season,DayType,load_class,hour,load,sdh_total_load,p_total_load
0,January,Weekday,101,1,0.7933333333333333,4205.975476190477,0.00018862053234126026
1,January,Saturday,101,1,0.836,3717.102,0.00022490639213021326
2,January,Sunday,101,1,0.826,3461.8579999999993,0.0002386001967729468
3,February,Weekday,101,1,0.7589999999999999,4192.294,0.00018104646286734658
4,February,Saturday,101,1,0.7725000000000001,3781.853,0.00020426494631071065
5,February,Sunday,101,1,0.7825,3536.9165000000003,0.00022123790595565373
6,March,Weekday,101,1,0.6804347826086957,4061.4103478260877,0.00016753657580374895
7,March,Saturday,101,1,0.7075,3690.661,0.0001917000775741798
8,March,Sunday,101,1,0.6975,3425.4330000000004,0.00020362389222034117
9,April,Weekday,101,1,0.5761904761904763,4056.580095238096,0.00014203848134709577
10,April,Saturday,101,1,0.61,3558.652,0.00017141322051158697
11,April,Sunday,101,1,0.6225,3349.986,0.00018582167209056996
12,May,Weekday,101,1,0.5522727272727272,4111.65,0.0001343190026565314
13,May,Saturday,101,1,0.5525,3818.648,0.00014468471563757645
14,May,Sunday,101,1,0.546,3416.2130000000006,0.0001598260998362807
15,June,Weekday,101,1,0.7668181818181818,4488.624181818182,0.00017083590667365053
16,June,Saturday,101,1,0.7150000000000001,4026.102,0.00017759112908714188
17,June,Sunday,101,1,0.7825,3710.4145000000003,0.00021089288002728532
18,July,Weekday,101,1,0.9842857142857142,4526.849095238095,0.0002174328530900464
19,July,Saturday,101,1,1.014,4120.606,0.0002460803095467026
20,July,Sunday,101,1,1.0420000000000003,3906.5400000000004,0.00026673219780163525
21,August,Weekday,101,1,0.9600000000000001,4426.559434782608,0.00021687272341959336
22,August,Saturday,101,1,0.885,4213.6050000000005,0.0002100339258188653
23,August,Sunday,101,1,0.895,3906.7625000000007,0.00022908994339942596
24,September,Weekday,101,1,0.6777272727272726,4163.980090909092,0.00016275948922207965
25,September,Saturday,101,1,0.6725,3955.9659999999994,0.000169996405429167
26,September,Sunday,101,1,0.6749999999999999,3575.4619999999995,0.0001887867917488705
27,October,Weekday,101,1,0.6271428571428572,3935.3936666666673,0.00015935962454146445
28,October,Saturday,101,1,0.654,3566.9369999999994,0.00018335058903479374
29,October,Sunday,101,1,0.6539999999999999,3290.7490000000003,0.00019873894970415547
30,November,Weekday,101,1,0.6290909090909091,3802.774909090909,0.0001654294361696258
31,November,Saturday,101,1,0.6525,3371.3680000000004,0.00019354161278151773
32,November,Sunday,101,1,0.645,3229.642,0.00019971253779830708
33,December,Weekday,101,1,0.7381818181818182,3701.4058181818186,0.00019943282483530087
34,December,Saturday,101,1,0.756,3410.9649999999997,0.00022163815811654475
35,December,Sunday,101,1,0.7925000000000001,3255.9925000000003,0.00024339736654798808
36,January,Weekday,201,1,0.8399999999999999,4205.975476190477,0.00019971585777309905
37,January,Saturday,201,1,0.826,3717.102,0.00022221612428176575
38,January,Sunday,201,1,0.826,3461.8579999999993,0.0002386001967729468
39,February,Weekday,201,1,0.836,4192.294,0.0001994134953321499
40,February,Saturday,201,1,0.8225,3781.853,0.00021748597843438124
41,February,Sunday,201,1,0.8225,3536.9165000000003,0.0002325471918830993
42,March,Weekday,201,1,0.7652173913043477,4061.4103478260877,0.00018841174020102115
43,March,Saturday,201,1,0.755,3690.661,0.0002045704008035417
44,March,Sunday,201,1,0.755,3425.4330000000004,0.00022041009122058435
45,April,Weekday,201,1,0.6595238095238095,4056.580095238096,0.00016258123691382446
