"Eastern Date Hour","Zone Name","DAM Forecast Load","GMT Start Hour"
"2019/01/01 00:00:00","CAPITL","1137","5"
"2019/01/01 00:00:00","CENTRL","1489","5"
"2019/01/01 00:00:00","DUNWOD","550","5"
"2019/01/01 00:00:00","GENESE","912","5"
"2019/01/01 00:00:00","HUD VL","915","5"
"2019/01/01 00:00:00","LONGIL","1988","5"
"2019/01/01 00:00:00","MHK VL","631","5"
"2019/01/01 00:00:00","MILLWD","267","5"
"2019/01/01 00:00:00","N.Y.C.","4837","5"
"2019/01/01 00:00:00","NORTH","607","5"
"2019/01/01 00:00:00","WEST","1525","5"
"2019/01/01 01:00:00","CAPITL","1092","6"
"2019/01/01 01:00:00","CENTRL","1430","6"
"2019/01/01 01:00:00","DUNWOD","519","6"
"2019/01/01 01:00:00","GENESE","872","6"
"2019/01/01 01:00:00","HUD VL","865","6"
"2019/01/01 01:00:00","LONGIL","1852","6"
"2019/01/01 01:00:00","MHK VL","597","6"
"2019/01/01 01:00:00","MILLWD","255","6"
"2019/01/01 01:00:00","N.Y.C.","4670","6"
"2019/01/01 01:00:00","NORTH","600","6"
"2019/01/01 01:00:00","WEST","1464","6"
"2019/01/01 02:00:00","CAPITL","1058","7"
"2019/01/01 02:00:00","CENTRL","1380","7"
"2019/01/01 02:00:00","DUNWOD","498","7"
"2019/01/01 02:00:00","GENESE","841","7"
"2019/01/01 02:00:00","HUD VL","829","7"
"2019/01/01 02:00:00","LONGIL","1745","7"
"2019/01/01 02:00:00","MHK VL","574","7"
"2019/01/01 02:00:00","MILLWD","247","7"
"2019/01/01 02:00:00","N.Y.C.","4507","7"
"2019/01/01 02:00:00","NORTH","593","7"
"2019/01/01 02:00:00","WEST","1419","7"
"2019/01/01 03:00:00","CAPITL","1041","8"
"2019/01/01 03:00:00","CENTRL","1361","8"
"2019/01/01 03:00:00","DUNWOD","480","8"
"2019/01/01 03:00:00","GENESE","826","8"
"2019/01/01 03:00:00","HUD VL","812","8"
"2019/01/01 03:00:00","LONGIL","1672","8"
"2019/01/01 03:00:00","MHK VL","565","8"
"2019/01/01 03:00:00","MILLWD","235","8"
"2019/01/01 03:00:00","N.Y.C.","4374","8"
"2019/01/01 03:00:00","NORTH","590","8"
"2019/01/01 03:00:00","WEST","1400","8"
"2019/01/01 04:00:00","CAPITL","1035","9"
"2019/01/01 04:00:00","CENTRL","1360","9"
"2019/01/01 04:00:00","DUNWOD","473","9"
"2019/01/01 04:00:00","GENESE","827","9"
"2019/01/01 04:00:00","HUD VL","807","9"
"2019/01/01 04:00:00","LONGIL","1641","9"
"2019/01/01 04:00:00","MHK VL","567","9"
"2019/01/01 04:00:00","MILLWD","229","9"
"2019/01/01 04:00:00","N.Y.C.","4303","9"
"2019/01/01 04:00:00","NORTH","592","9"
"2019/01/01 04:00:00","WEST","1396","9"
"2019/01/01 05:00:00","CAPITL","1046","10"
"2019/01/01 05:00:00","CENTRL","1381","10"
"2019/01/01 05:00:00","DUNWOD","477","10"
"2019/01/01 05:00:00","GENESE","843","10"
"2019/01/01 05:00:00","HUD VL","815","10"
"2019/01/01 05:00:00","LONGIL","1646","10"
"2019/01/01 05:00:00","MHK VL","576","10"
"2019/01/01 05:00:00","MILLWD","229","10"
"2019/01/01 05:00:00","N.Y.C.","4321","10"
"2019/01/01 05:00:00","NORTH","599","10"
"2019/01/01 05:00:00","WEST","1412","10"
"2019/01/01 06:00:00","CAPITL","1073","11"
"2019/01/01 06:00:00","CENTRL","1424","11"
"2019/01/01 06:00:00","DUNWOD","487","11"
"2019/01/01 06:00:00","GENESE","868","11"
"2019/01/01 06:00:00","HUD VL","832","11"
"2019/01/01 06:00:00","LONGIL","1677","11"
"2019/01/01 06:00:00","MHK VL","605","11"
"2019/01/01 06:00:00","MILLWD","236","11"
"2019/01/01 06:00:00","N.Y.C.","4427","11"
"2019/01/01 06:00:00","NORTH","609","11"
"2019/01/01 06:00:00","WEST","1452","11"
"2019/01/01 07:00:00","CAPITL","1100","12"
